IKI,IKI_2,IKI_3,SD_IKI,SENTENCE_ID
296,296,528,63.322499073306396,michele,session_1571401313910
302,482,482,63.322499073306396,michele,session_1571401313910
272,471,651,63.322499073306396,michele,session_1571401313910
291,456,655,63.322499073306396,michele,session_1571401313910
292,474,639,63.322499073306396,michele,session_1571401313910
102,389,571,63.322499073306396,michele,session_1571401313910
293,293,580,63.322499073306396,michele,session_1571401313910
292,478,478,63.322499073306396,michele,session_1571401313910
300,476,662,63.322499073306396,michele,session_1571401313910
260,467,643,63.322499073306396,michele,session_1571401313910
270,419,626,63.322499073306396,michele,session_1571401313910
247,407,556,63.322499073306396,michele,session_1571401313910
218,364,524,63.322499073306396,michele,session_1571401313910
276,391,537,63.322499073306396,michele,session_1571401313910
272,414,529,63.322499073306396,michele,session_1571401313910
112,379,521,63.322499073306396,michele,session_1571401313910
237,237,504,63.322499073306396,michele,session_1571401313910
236,381,381,63.322499073306396,michele,session_1571401313910
249,361,506,63.322499073306396,michele,session_1571401313910
234,374,486,63.322499073306396,michele,session_1571401313910
269,390,530,63.322499073306396,michele,session_1571401313910
315,474,595,63.322499073306396,michele,session_1571401313910
141,433,592,63.322499073306396,michele,session_1571401313910
298,298,590,63.322499073306396,michele,session_1571401313910
290,481,481,63.322499073306396,michele,session_1571401313910
236,433,624,63.322499073306396,michele,session_1571401313910
364,465,662,63.322499073306396,michele,session_1571401313910
97,428,529,63.322499073306396,michele,session_1571401313910
314,314,645,63.322499073306396,michele,session_1571401313910
280,456,456,63.322499073306396,michele,session_1571401313910
